CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
r9,1,122,122,123
r9,2,210,215,242
r9,3,349,349,355
r9,4,468,467,471
r9,5,567,568,572
r9,6,671,671,676
r9,7,777,775,788
r9,8,886,872,904
r9,9,886,878,899
r9,10,1074,1074,1081
r9,11,1072,1069,1080
r9,12,1266,1264,1274
r9,13,1265,1265,1274
r9,14,1476,1474,1487
r9,15,1474,1473,1482
r9,16,1626,1629,1660
r9,17,1624,1623,1630
r9,18,1624,1623,1630
r9,19,1622,1622,1629
r9,20,1077,1075,1110
r9,21,1074,1075,1096
r9,22,1075,1075,1106
r9,23,1076,1075,1089
r9,24,1246,1249,1291
r9,25,1247,1248,1278
r9,26,1246,1247,1293
r9,27,1248,1246,1288
r9,28,1410,1412,1466
r9,29,1409,1407,1453
r9,30,1416,1411,1464
r9,31,1406,1406,1462
r9,32,1524,1524,1544
